Algorithm,Data Count,Thread Count,Mean Execution Time (s)
Parallel-Shell-Sort-Hibbard-Sequence,60000,16,0.0053113553
Parallel-Shell-Sort-Hibbard-Sequence,80000,1,0.0197075926
Parallel-Shell-Sort-Hibbard-Sequence,80000,2,0.0118485022
Parallel-Shell-Sort-Hibbard-Sequence,80000,4,0.0080760815
Parallel-Shell-Sort-Hibbard-Sequence,80000,8,0.009757968
Parallel-Shell-Sort-Hibbard-Sequence,80000,16,0.007586132
Parallel-Shell-Sort-Hibbard-Sequence,100000,1,0.0284322196
Parallel-Shell-Sort-Hibbard-Sequence,100000,2,0.014945354
Parallel-Shell-Sort-Hibbard-Sequence,100000,4,0.0099236306
Parallel-Shell-Sort-Hibbard-Sequence,100000,8,0.0078345594
Parallel-Shell-Sort-Hibbard-Sequence,100000,16,0.0089508908
Parallel-Shell-Sort-Hibbard-Sequence,200000,1,0.0586942048
Parallel-Shell-Sort-Hibbard-Sequence,200000,2,0.0326963984
Parallel-Shell-Sort-Hibbard-Sequence,200000,4,0.020659978
Parallel-Shell-Sort-Hibbard-Sequence,200000,8,0.0150368526
Parallel-Shell-Sort-Hibbard-Sequence,200000,16,0.0172142492
Parallel-Shell-Sort-Hibbard-Sequence,300000,1,0.0954365884
Parallel-Shell-Sort-Hibbard-Sequence,300000,2,0.0501971524
Parallel-Shell-Sort-Hibbard-Sequence,300000,4,0.0363003164
Parallel-Shell-Sort-Hibbard-Sequence,300000,8,0.1515741846
Parallel-Shell-Sort-Hibbard-Sequence,300000,16,0.029540666
Parallel-Shell-Sort-Hibbard-Sequence,400000,1,0.1323158122
Parallel-Shell-Sort-Hibbard-Sequence,400000,2,0.0746978842
Parallel-Shell-Sort-Hibbard-Sequence,400000,4,0.048753065
Parallel-Shell-Sort-Hibbard-Sequence,400000,8,0.1581163424
Parallel-Shell-Sort-Hibbard-Sequence,400000,16,0.040731122
Parallel-Shell-Sort-Hibbard-Sequence,500000,1,0.1731763882
Parallel-Shell-Sort-Hibbard-Sequence,500000,2,0.0999991686
Parallel-Shell-Sort-Hibbard-Sequence,500000,4,0.0663707694
Parallel-Shell-Sort-Hibbard-Sequence,500000,8,0.1987161396
Parallel-Shell-Sort-Hibbard-Sequence,500000,16,0.0501998278
